group,granularity,payload,packets,jitter_ns,loss,skew_ns,single_path,key_window,seek_cap,replay_window,seed,warmup,ppf,spacing_ns,delivered,lost_packets,lost_a,lost_b,wins_a,wins_b,duplicates_dropped,reordered,lateness_p50,lateness_p99,lateness_p999,lateness_max,gaps,max_gap,decrypted,drops_behind,drops_seek_cap,drops_replay,drops_auth,cache_hits,installs,catchup_steps,max_catchup,keying_loss,undecrypted_rate,wire_len,measured_calls,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,gbps,warmup_calls,warmup_mean_ns,advance_n,advance_mean_ns,current_n,current_mean_ns,straggler_n,straggler_mean_ns
payload,epoch,16,1000000,0,0,0,true,512,4096,512,1,50000,324000,51.440329218106996,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,44,950000,149.2477505263158,166,208,250,12625,2.3584945083506255,50000,149.29392,0,,950000,149.2477505263158,0,
payload,epoch,16,1000000,50000,0.00001,150000,false,512,4096,3922,1,50000,324000,51.440329218106996,1000000,0,11,10,999989,11,999979,959673,447,930,954,3719,39313,124,1000000,0,0,0,0,999999,1,1,1,0,0,44,950000,143.47097684210527,125,209,250,12042,2.453457889168679,50000,144.87134,0,,950000,143.47097684210527,0,
payload,epoch,32,1000000,0,0,0,true,512,4096,512,1,50000,162000,102.88065843621399,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,60,950000,151.16536210526317,166,208,250,13959,3.17533060031143,50000,151.63242,0,,950000,151.16536210526317,0,
payload,epoch,32,1000000,50000,0.00001,150000,false,512,4096,1961,1,50000,162000,102.88065843621399,1000000,0,11,10,999989,11,999979,942951,216,460,475,1873,54889,100,1000000,0,0,0,0,999999,1,1,1,0,0,60,950000,143.31061263157895,125,209,250,12083,3.3493681394969523,50000,143.58844,0,,950000,143.31061263157895,0,
payload,epoch,40,1000000,0,0,0,true,512,4096,512,1,50000,129600,128.6008230452675,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,68,950000,155.61689789473684,166,209,250,13583,3.4957643248227144,50000,156.88534,0,,950000,155.61689789473684,0,
payload,epoch,40,1000000,50000,0.00001,150000,false,512,4096,1563,1,50000,129600,128.6008230452675,1000000,0,11,10,999989,11,999979,936205,170,367,379,1453,61107,100,1000000,0,0,0,0,999999,1,1,1,0,0,68,950000,148.0742147368421,166,209,250,18792,3.673833428506093,50000,148.71022,0,,950000,148.0742147368421,0,
payload,epoch,64,1000000,0,0,0,true,512,4096,512,1,50000,81000,205.76131687242798,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,92,950000,152.0248505263158,166,208,250,1709,4.841313755296849,50000,151.1472,0,,950000,152.0248505263158,0,
payload,epoch,64,1000000,50000,0.00001,150000,false,512,4096,976,1,50000,81000,205.76131687242798,1000000,0,11,10,999989,11,999979,919125,102,227,236,928,76454,68,1000000,0,0,0,0,999999,1,1,1,0,0,92,950000,144.01425894736843,125,208,250,15209,5.110605056607479,50000,145.0912,0,,950000,144.01425894736843,0,
payload,epoch,128,1000000,0,0,0,true,512,4096,512,1,50000,40500,411.52263374485597,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,156,950000,160.9860147368421,167,209,250,15042,7.752226192070532,50000,160.99224,0,,950000,160.9860147368421,0,
payload,epoch,128,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,40500,411.52263374485597,1000000,0,11,10,999989,11,999979,884938,47,112,117,452,105941,43,1000000,0,0,0,0,999999,1,1,1,0,0,156,950000,152.98037368421052,166,209,250,26291,8.157909213741247,50000,152.45306,0,,950000,152.98037368421052,0,
