side,mac,payload,packets,warmup,mean_ns,p50_ns,p99_ns,max_ns,gbps
sender,none,16,100000,5000,257.0,250,417,19917,0.498
sender,hmac,16,100000,5000,266.2,250,334,38416,0.481
sender,gmac,16,100000,5000,243.1,250,334,51209,0.527
receiver,none,16,100000,5000,132.3,125,167,24583,0.967
receiver,hmac,16,100000,5000,248.2,166,250,2177375,0.516
receiver,gmac,16,100000,5000,227.0,166,209,1741792,0.564
sender,none,32,100000,5000,153.7,166,209,25750,1.666
sender,hmac,32,100000,5000,262.0,250,375,24042,0.977
sender,gmac,32,100000,5000,249.6,250,334,22000,1.026
receiver,none,32,100000,5000,134.5,125,167,12334,1.903
receiver,hmac,32,100000,5000,280.1,166,209,1482458,0.914
receiver,gmac,32,100000,5000,241.8,166,209,934750,1.059
sender,none,40,100000,5000,157.5,166,209,20083,2.032
sender,hmac,40,100000,5000,264.3,250,375,38958,1.211
sender,gmac,40,100000,5000,242.5,250,334,28167,1.320
receiver,none,40,100000,5000,137.1,125,208,1375,2.335
receiver,hmac,40,100000,5000,285.3,166,250,1175791,1.122
receiver,gmac,40,100000,5000,471.2,167,500,17123917,0.679
sender,none,64,100000,5000,213.2,167,333,2468084,2.402
sender,hmac,64,100000,5000,276.5,291,375,29083,1.851
sender,gmac,64,100000,5000,261.7,250,375,31666,1.957
receiver,none,64,100000,5000,132.8,125,167,22583,3.856
receiver,hmac,64,100000,5000,279.3,166,250,720459,1.833
receiver,gmac,64,100000,5000,247.4,166,250,508916,2.070
sender,none,128,100000,5000,136.1,125,208,20209,7.522
sender,hmac,128,100000,5000,268.2,250,375,21583,3.819
sender,gmac,128,100000,5000,238.6,250,333,28792,4.292
receiver,none,128,100000,5000,144.0,125,209,23584,7.113
receiver,hmac,128,100000,5000,330.1,167,250,459208,3.102
receiver,gmac,128,100000,5000,266.9,167,250,290917,3.837
sender,none,160,100000,5000,139.9,125,208,28208,9.151
sender,hmac,160,100000,5000,305.1,292,417,26708,4.195
sender,gmac,160,100000,5000,244.7,250,334,30708,5.231
receiver,none,160,100000,5000,152.4,166,209,30916,8.396
receiver,hmac,160,100000,5000,375.4,167,250,453542,3.410
receiver,gmac,160,100000,5000,275.3,167,250,229459,4.649
sender,none,256,100000,5000,155.6,166,209,23417,13.164
sender,hmac,256,100000,5000,350.9,334,500,26500,5.837
sender,gmac,256,100000,5000,282.8,291,375,20667,7.242
receiver,none,256,100000,5000,170.5,167,250,23166,12.012
receiver,hmac,256,100000,5000,413.1,167,292,310375,4.958
receiver,gmac,256,100000,5000,310.0,167,292,178042,6.607
sender,none,512,100000,5000,181.1,167,250,11625,22.619
sender,hmac,512,100000,5000,475.8,459,667,28083,8.609
sender,gmac,512,100000,5000,329.8,333,458,24209,12.419
receiver,none,512,100000,5000,194.6,208,291,7000,21.051
receiver,hmac,512,100000,5000,560.8,208,375,305833,7.304
receiver,gmac,512,100000,5000,389.0,209,417,157583,10.530
sender,none,800,100000,5000,210.2,208,292,26542,30.450
sender,hmac,800,100000,5000,634.4,625,875,18833,10.088
sender,gmac,800,100000,5000,394.4,375,542,24792,16.226
receiver,none,800,100000,5000,224.1,209,333,22750,28.556
receiver,hmac,800,100000,5000,740.2,250,417,225167,8.646
receiver,gmac,800,100000,5000,453.9,250,417,97166,14.100
sender,none,1024,100000,5000,234.6,250,333,21875,34.925
sender,hmac,1024,100000,5000,742.1,750,1000,21833,11.040
sender,gmac,1024,100000,5000,448.4,458,625,28625,18.269
receiver,none,1024,100000,5000,248.8,250,334,20708,32.927
receiver,hmac,1024,100000,5000,828.1,292,625,217417,9.893
receiver,gmac,1024,100000,5000,515.1,292,541,88875,15.903
sender,none,1200,100000,5000,248.9,250,334,18542,38.571
sender,hmac,1200,100000,5000,836.0,833,1166,31917,11.484
sender,gmac,1200,100000,5000,743.6,500,1084,5575500,12.910
receiver,none,1200,100000,5000,266.5,250,334,25708,36.018
receiver,hmac,1200,100000,5000,958.8,292,583,238958,10.012
receiver,gmac,1200,100000,5000,568.9,333,584,90125,16.875
sender,none,1390,100000,5000,281.5,291,375,46875,39.496
sender,hmac,1390,100000,5000,948.7,917,1292,43000,11.721
sender,gmac,1390,100000,5000,532.9,541,750,59125,20.869
receiver,none,1390,100000,5000,298.5,292,416,43083,37.259
receiver,hmac,1390,100000,5000,1053.5,333,542,197833,10.555
receiver,gmac,1390,100000,5000,617.7,334,542,90917,18.001
sender,none,2048,100000,5000,335.6,333,458,22208,48.817
sender,hmac,2048,100000,5000,1270.1,1250,1541,53875,12.900
sender,gmac,2048,100000,5000,680.8,667,958,25792,24.065
receiver,none,2048,100000,5000,362.1,375,459,13042,45.251
receiver,hmac,2048,100000,5000,1402.0,417,667,229833,11.686
receiver,gmac,2048,100000,5000,800.7,417,667,117167,20.461
sender,none,4096,100000,5000,548.9,542,709,102083,59.696
sender,hmac,4096,100000,5000,2332.4,2292,2583,64458,14.049
sender,gmac,4096,100000,5000,1163.1,1125,1667,63708,28.174
receiver,none,4096,100000,5000,608.3,583,917,36000,53.867
receiver,hmac,4096,100000,5000,2702.0,834,138709,182542,12.127
receiver,gmac,4096,100000,5000,1472.6,833,47500,92292,22.252
sender,none,8890,100000,5000,1049.0,1042,1375,43042,67.795
sender,hmac,8890,100000,5000,4814.7,4791,5208,47750,14.771
sender,gmac,8890,100000,5000,2244.4,2208,2792,35041,31.688
receiver,none,8890,100000,5000,1207.7,1167,1625,44208,58.890
receiver,hmac,8890,100000,5000,6181.9,2583,136167,179208,11.505
receiver,gmac,8890,100000,5000,3502.5,2500,46500,102750,20.306
